sCode,noPeriode,sDescription
CH-TP,28,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,110,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,125,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,253,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,254,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TQ,110,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TQ,125,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TQ,256,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TT,1372,24 HEURES - 7 JOURS SUR 7
CH-TX,259,LUN À VEN. 9h - 18h
CH-TY,283,9h - MINUIT - TOUS LES JOURS
CH-UB,28,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,125,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1402,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1403,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1404,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UC,28,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UC,114,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UC,125,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UC,1434,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UD,114,LUN À VEN 17 h - 21h
CH-UF,28,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UF,125,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UF,317,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UH,28,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UH,125,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UH,192,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UH,1444,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UO,28,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UO,125,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UO,286,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UQ,28,LUN À VEN 19 h 30 - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UQ,125,LUN À VEN 19 h 30 - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UQ,192,LUN À VEN 19 h 30 - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-VA,108,LUN à VEN 9h - 21h et SAM et DIM 9h-18h
CH-VA,332,LUN à VEN 9h - 21h et SAM et DIM 9h-18h
CH-VB,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-VB,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-VB,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-WA,121,LUN À VEN 9 h - 14 h et 19h-21h SAM 9h - 14h DIM 13 h - 14 h
CH-WA,305,LUN À VEN 9 h - 14 h et 19h-21h SAM 9h - 14h DIM 13 h - 14 h
CH-WA,1469,LUN À VEN 9 h - 14 h et 19h-21h SAM 9h - 14h DIM 13 h - 14 h
CH-ZA,1371,6 h - 17 h LUN à VEN
CH-ZX,28,LUN JEU 9h - 21h et SAM 9h - 18h
CH-ZX,210,LUN JEU 9h - 21h et SAM 9h - 18h
